Materials,Specimen,A,B,C,D,E,F,G,H,J,T0
Carbon Steel, Flat ,13.4,0.98,3800,0.46,25,0.62,50,0.34,0.016,20
Carbon Steel, Helix ,19.7,0.05,3800,0.46,25,0.62,50,0.34,0.016,20
